,star_rating,title,content_rating,genre,duration
0,9.3,The Shawshank Redemption,R,Crime,142
1,9.2,The Godfather,R,Crime,175
2,9.1,The Godfather: Part II,R,Crime,200
3,9.0,The Dark Knight,PG-13,Action,152
4,8.9,Pulp Fiction,R,Crime,154
5,8.9,12 Angry Men,NOT RATED,Drama,96
6,8.9,"The Good, the Bad and the Ugly",NOT RATED,Western,161
7,8.9,The Lord of the Rings: The Return of the King,PG-13,Adventure,201
8,8.9,Schindler's List,R,Biography,195
9,8.9,Fight Club,R,Drama,139
10,8.8,The Lord of the Rings: The Fellowship of the Ring,PG-13,Adventure,178
11,8.8,Inception,PG-13,Action,148
12,8.8,Star Wars: Episode V - The Empire Strikes Back,PG,Action,124
13,8.8,Forrest Gump,PG-13,Drama,142
14,8.8,The Lord of the Rings: The Two Towers,PG-13,Adventure,179
15,8.7,Interstellar,PG-13,Adventure,169
16,8.7,One Flew Over the Cuckoo's Nest,R,Drama,133
17,8.7,Seven Samurai,UNRATED,Drama,207
18,8.7,Goodfellas,R,Biography,146
19,8.7,Star Wars,PG,Action,121
20,8.7,The Matrix,R,Action,136
21,8.7,City of God,R,Crime,130
22,8.7,It's a Wonderful Life,APPROVED,Drama,130
23,8.7,The Usual Suspects,R,Crime,106
24,8.7,Se7en,R,Drama,127
25,8.6,Life Is Beautiful,PG-13,Comedy,116
26,8.6,Once Upon a Time in the West,PG-13,Western,175
27,8.6,The Silence of the Lambs,R,Drama,118
28,8.6,Leon: The Professional,R,Crime,110
29,8.6,City Lights,PASSED,Comedy,87
30,8.6,Spirited Away,PG,Animation,125
31,8.6,The Intouchables,R,Biography,112
32,8.6,Casablanca,PG,Drama,102
33,8.6,Whiplash,R,Drama,107
34,8.6,American History X,R,Crime,119
35,8.6,Modern Times,G,Comedy,87
36,8.6,Saving Private Ryan,R,Action,169
37,8.6,Raiders of the Lost Ark,PG,Action,115
38,8.6,Rear Window,APPROVED,Mystery,112
39,8.6,Psycho,R,Horror,109
40,8.5,The Green Mile,R,Crime,189
41,8.5,Sunset Blvd.,NOT RATED,Drama,110
42,8.5,The Pianist,R,Biography,150
43,8.5,The Dark Knight Rises,PG-13,Action,165
44,8.5,Gladiator,R,Action,155
45,8.5,Terminator 2: Judgment Day,R,Action,137
46,8.5,Memento,R,Mystery,113
47,8.5,Taare Zameen Par,PG,Drama,165
48,8.5,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,PG,Comedy,95
49,8.5,The Departed,R,Crime,151
50,8.5,Cinema Paradiso,R,Drama,155
51,8.5,Apocalypse Now,R,Drama,153
52,8.5,The Great Dictator,APPROVED,Comedy,125
53,8.5,The Prestige,PG-13,Drama,130
54,8.5,Back to the Future,PG,Adventure,116
55,8.5,The Lion King,G,Animation,89
56,8.5,The Lives of Others,R,Drama,137
57,8.5,Alien,R,Horror,117
58,8.5,Paths of Glory,APPROVED,Drama,88
59,8.5,Django Unchained,R,Western,165
60,8.5,3 Idiots,PG-13,Comedy,170
61,8.5,Grave of the Fireflies,UNRATED,Animation,89
62,8.5,The Shining,R,Horror,146
63,8.4,M,NOT RATED,Crime,99
64,8.4,WALL-E,G,Animation,98
65,8.4,Witness for the Prosecution,APPROVED,Crime,116
66,8.4,Munna Bhai M.B.B.S.,NOT RATED,Comedy,156
67,8.4,American Beauty,R,Drama,122
68,8.4,Das Boot,R,Adventure,149
69,8.4,Princess Mononoke,PG-13,Animation,134
70,8.4,Amelie,R,Comedy,122
71,8.4,North by Northwest,APPROVED,Adventure,136
72,8.4,Rang De Basanti,NOT RATED,Drama,157
73,8.4,Jodaeiye Nader az Simin,PG-13,Drama,123
74,8.4,Citizen Kane,APPROVED,Drama,119
75,8.4,Aliens,R,Action,137
76,8.4,Vertigo,APPROVED,Mystery,128
77,8.4,Oldeuboi,R,Drama,120
78,8.4,Once Upon a Time in America,R,Crime,229
79,8.4,Double Indemnity,PASSED,Crime,107
80,8.4,Star Wars: Episode VI - Return of the Jedi,PG,Action,134
81,8.4,Toy Story 3,G,Animation,103
82,8.4,Braveheart,R,Action,177
83,8.4,To Kill a Mockingbird,NOT RATED,Drama,129
84,8.4,Requiem for a Dream,R,Drama,102
85,8.4,Lawrence of Arabia,PG,Adventure,216
86,8.4,A Clockwork Orange,X,Crime,136
87,8.4,Bicycle Thieves,NOT RATED,Drama,93
88,8.4,The Kid,NOT RATED,Comedy,68
89,8.4,Swades,NOT RATED,Drama,189
90,8.4,Reservoir Dogs,R,Crime,99
91,8.4,Eternal Sunshine of the Spotless Mind,R,Drama,108
92,8.4,Taxi Driver,R,Crime,113
